GearRatio,MetricModule,NumberOfTeeth,BoreDiameter,FaceWidth,PitchDiameter,HubDiameter,HubProjection,Material,Price,PricePaired
1.5,1.5,20,8 mm,9 mm,30 mm,25 mm,8.8 mm,Black Oxide Coated Carbon Steel,$39.29,$54.12
1.5,1.5,30,10 mm,9 mm,45 mm,30 mm,8 mm,Black Oxide Coated Carbon Steel,$54.12,$39.29
1.5,2,20,10 mm,11 mm,40 mm,30 mm,11.7 mm,Black Oxide Coated Carbon Steel,$51.22,$70.53
1.5,2,30,10 mm,11 mm,60 mm,35 mm,15 mm,Black Oxide Coated Carbon Steel,$70.53,$51.22
1.5,2.5,20,12 mm,15 mm,50 mm,35 mm,12.5 mm,Black Oxide Coated Carbon Steel,$63.18,$94.95
1.5,2.5,30,15 mm,15 mm,75 mm,45 mm,18 mm,Black Oxide Coated Carbon Steel,$94.95,$63.18
2,1,20,6 mm,6 mm,20 mm,16 mm,7 mm,Black Oxide Coated Carbon Steel,$30.98,$52.01
2,1,40,8 mm,6 mm,40 mm,25 mm,8 mm,Black Oxide Coated Carbon Steel,$52.01,$30.98
2,1.25,20,8 mm,8 mm,25 mm,22 mm,10.3 mm,Black Oxide Coated Carbon Steel,$35.42,$62.66
2,1.25,40,10 mm,8 mm,50 mm,32 mm,10 mm,Black Oxide Coated Carbon Steel,$62.66,$35.42
2,1.5,15,6 mm,8 mm,22.5 mm,16 mm,7.9 mm,Black Oxide Coated Carbon Steel,$31.55,$53.81
2,1.5,20,8 mm,10 mm,30 mm,25 mm,14.8 mm,Black Oxide Coated Carbon Steel,$40.61,$76.69
2,1.5,30,8 mm,8 mm,45 mm,25 mm,9 mm,Black Oxide Coated Carbon Steel,$53.81,$31.55
2,1.5,40,10 mm,10 mm,60 mm,38 mm,15 mm,Black Oxide Coated Carbon Steel,$76.69,$40.61
2,2,15,8 mm,11 mm,30 mm,22 mm,8 mm,Black Oxide Coated Carbon Steel,$36.43,$68.20
2,2,20,12 mm,15 mm,40 mm,32 mm,18 mm,Black Oxide Coated Carbon Steel,$53.37,$96.58
2,2,30,10 mm,11 mm,60 mm,30 mm,10 mm,Black Oxide Coated Carbon Steel,$68.20,$36.43
2,2,40,12 mm,15 mm,80 mm,40 mm,18 mm,Black Oxide Coated Carbon Steel,$96.58,$53.37
2,2.5,15,12 mm,15 mm,37.5 mm,30 mm,15.6 mm,Black Oxide Coated Carbon Steel,$48.14,$86.99
2,2.5,18,12 mm,16 mm,45 mm,38 mm,17.3 mm,Black Oxide Coated Carbon Steel,$61.64,$112.64
2,2.5,20,12 mm,20 mm,50 mm,40 mm,22.5 mm,Black Oxide Coated Carbon Steel,$71.50,$130.28
2,2.5,30,15 mm,15 mm,75 mm,40 mm,15 mm,Black Oxide Coated Carbon Steel,$86.99,$48.14
2,2.5,36,15 mm,16 mm,90 mm,55 mm,13 mm,Black Oxide Coated Carbon Steel,$112.64,$61.64
2,2.5,40,15 mm,20 mm,100 mm,50 mm,20 mm,Black Oxide Coated Carbon Steel,$130.28,$71.50
2.5,1,18,6 mm,7 mm,18 mm,15 mm,8.9 mm,Black Oxide Coated Carbon Steel,$32.16,$58.78
2.5,1,45,8 mm,7 mm,45 mm,30 mm,10 mm,Black Oxide Coated Carbon Steel,$58.78,$32.16
2.5,1.25,18,8 mm,9 mm,22.5 mm,19 mm,11.2 mm,Black Oxide Coated Carbon Steel,$34.14,$69.39
2.5,1.25,45,10 mm,9 mm,56.25 mm,34 mm,10 mm,Black Oxide Coated Carbon Steel,$69.39,$34.14
2.5,1.5,18,8 mm,11 mm,27 mm,23 mm,10.5 mm,Black Oxide Coated Carbon Steel,$37.40,$83.91
2.5,1.5,45,10 mm,11 mm,67.5 mm,36 mm,10 mm,Black Oxide Coated Carbon Steel,$83.91,$37.40
2.5,2,18,10 mm,14 mm,36 mm,32 mm,14.2 mm,Black Oxide Coated Carbon Steel,$49.41,$122.67
2.5,2,45,12 mm,14 mm,90 mm,48 mm,15 mm,Black Oxide Coated Carbon Steel,$122.67,$49.41
2.5,2.5,18,12 mm,18 mm,45 mm,40 mm,14.8 mm,Black Oxide Coated Carbon Steel,$62.04,$170.28
2.5,2.5,45,15 mm,18 mm,112.5 mm,55 mm,18 mm,Black Oxide Coated Carbon Steel,$170.28,$62.04
3,1,15,6 mm,6 mm,15 mm,12 mm,6 mm,Black Oxide Coated Carbon Steel,$28.42,$55.84
3,1,45,8 mm,6 mm,45 mm,30 mm,5 mm,Black Oxide Coated Carbon Steel,$55.84,$28.42
3,1.25,15,8 mm,8 mm,18.75 mm,15 mm,7.3 mm,Black Oxide Coated Carbon Steel,$30.67,$66.18
3,1.25,45,10 mm,8 mm,56.25 mm,34 mm,6 mm,Black Oxide Coated Carbon Steel,$66.18,$30.67
3,1.5,15,8 mm,10 mm,22.5 mm,18 mm,12.5 mm,Black Oxide Coated Carbon Steel,$33.22,$83.25
3,1.5,45,10 mm,10 mm,67.5 mm,36 mm,11 mm,Black Oxide Coated Carbon Steel,$83.25,$33.22
3,2,15,10 mm,15 mm,30 mm,24 mm,14 mm,Black Oxide Coated Carbon Steel,$41.23,$116.42
3,2,45,12 mm,15 mm,90 mm,40 mm,17 mm,Black Oxide Coated Carbon Steel,$116.42,$41.23
3,2.5,15,12 mm,20 mm,37.5 mm,30 mm,17.5 mm,Black Oxide Coated Carbon Steel,$50.34,$161.92
3,2.5,45,15 mm,20 mm,112.5 mm,50 mm,22 mm,Black Oxide Coated Carbon Steel,$161.92,$50.34
4,1.5,15,8 mm,12 mm,22.5 mm,18 mm,10.4 mm,Black Oxide Coated Carbon Steel,$35.38,$123.29
4,1.5,60,12 mm,12 mm,90 mm,50 mm,12 mm,Black Oxide Coated Carbon Steel,$123.29,$35.38
4,2,15,10 mm,16 mm,30 mm,24 mm,14.3 mm,Black Oxide Coated Carbon Steel,$43.60,$189.20
4,2,60,15 mm,16 mm,120 mm,60 mm,16 mm,Black Oxide Coated Carbon Steel,$189.20,$43.60
4,2.5,15,12 mm,20 mm,37.5 mm,30 mm,18.1 mm,Black Oxide Coated Carbon Steel,$53.42,$277.42
4,2.5,60,20 mm,20 mm,150 mm,70 mm,20 mm,Black Oxide Coated Carbon Steel,$277.42,$53.42
5,1.5,12,12.2 mm,12 mm,18 mm,15 mm,4.7 mm,Black Oxide Coated Carbon Steel,$67.89,$123.29
5,1.5,60,12 mm,12 mm,90 mm,50 mm,12 mm,Black Oxide Coated Carbon Steel,$123.29,$67.89
5,2,12,15.2 mm,16 mm,24 mm,20 mm,5.6 mm,Black Oxide Coated Carbon Steel,$84.79,$190.96
5,2,60,15 mm,16 mm,120 mm,60 mm,16 mm,Black Oxide Coated Carbon Steel,$190.96,$84.79
5,2.5,12,20.2 mm,20 mm,30 mm,25 mm,7.5 mm,Black Oxide Coated Carbon Steel,$112.73,$275.22
5,2.5,60,20 mm,20 mm,150 mm,70 mm,20 mm,Black Oxide Coated Carbon Steel,$275.22,$112.73
1.5,1.5,20,8 mm,9 mm,30 mm,25 mm,8.8 mm,Stainless Steel,$68.73,$102.17
1.5,1.5,30,10 mm,9 mm,45 mm,30 mm,8 mm,Stainless Steel,$102.17,$68.73
1.5,2,20,10 mm,11 mm,40 mm,35 mm,13.3 mm,Stainless Steel,$99.99,$151.36
1.5,2,30,10 mm,11 mm,60 mm,35 mm,15 mm,Stainless Steel,$151.36,$99.99
1.5,2.5,20,12 mm,15 mm,50 mm,40 mm,14.2 mm,Stainless Steel,$139.70,$221.10
1.5,2.5,30,15 mm,15 mm,75 mm,45 mm,18 mm,Stainless Steel,$221.10,$139.70
1.5,3,20,15 mm,17 mm,60 mm,50 mm,21.7 mm,Stainless Steel,$197.34,$302.94
1.5,3,30,15 mm,17 mm,90 mm,60 mm,17 mm,Stainless Steel,$302.94,$197.34
2,1.5,20,8 mm,10 mm,30 mm,25 mm,14.8 mm,Stainless Steel,$77.31,$154.00
2,1.5,40,10 mm,10 mm,60 mm,38 mm,15 mm,Stainless Steel,$154.00,$77.31
2,2,20,12 mm,15 mm,40 mm,32 mm,18 mm,Stainless Steel,$111.54,$241.78
2,2,40,12 mm,15 mm,80 mm,50 mm,18 mm,Stainless Steel,$241.78,$111.54
2,2.5,20,12 mm,20 mm,50 mm,40 mm,22.5 mm,Stainless Steel,$168.08,$380.60
2,2.5,40,15 mm,20 mm,100 mm,60 mm,20 mm,Stainless Steel,$380.60,$168.08
2,3,20,16 mm,22 mm,60 mm,50 mm,27.5 mm,Stainless Steel,$229.02,$526.24
2,3,40,20 mm,22 mm,120 mm,70 mm,24 mm,Stainless Steel,$526.24,$229.02
3,1.5,15,8 mm,10 mm,22.5 mm,18 mm,12.5 mm,Stainless Steel,$55.70,$165.44
3,1.5,45,10 mm,10 mm,67.5 mm,36 mm,11 mm,Stainless Steel,$165.44,$55.70
3,2,15,10 mm,15 mm,30 mm,24 mm,14 mm,Stainless Steel,$78.72,$261.80
3,2,45,12 mm,15 mm,90 mm,60 mm,17 mm,Stainless Steel,$261.80,$78.72
3,2.5,15,12 mm,20 mm,37.5 mm,30 mm,17.5 mm,Stainless Steel,$108.99,$432.08
3,2.5,45,15 mm,20 mm,112.5 mm,60 mm,22 mm,Stainless Steel,$432.08,$108.99
3,3,15,15 mm,23 mm,45 mm,38 mm,21.3 mm,Stainless Steel,$152.90,$593.56
3,3,45,20 mm,23 mm,135 mm,80 mm,20 mm,Stainless Steel,$593.56,$152.90
1.5,1.5,20,8 mm,9 mm,30 mm,25 mm,8.8 mm,Nylon,$38.24,$53.99
1.5,1.5,30,10 mm,9 mm,45 mm,30 mm,8 mm,Nylon,$53.99,$38.24
1.5,2,20,10 mm,11 mm,40 mm,35 mm,13.3 mm,Nylon,$51.79,$76.78
1.5,2,30,10 mm,11 mm,60 mm,35 mm,15 mm,Nylon,$76.78,$51.79
1.5,2.5,20,12 mm,15 mm,50 mm,40 mm,14.2 mm,Nylon,$68.82,$103.09
1.5,2.5,30,15 mm,15 mm,75 mm,45 mm,18 mm,Nylon,$103.09,$68.82
1.5,3,20,15 mm,17 mm,60 mm,50 mm,21.7 mm,Nylon,$99.99,$142.56
1.5,3,30,15 mm,17 mm,90 mm,60 mm,17 mm,Nylon,$142.56,$99.99
2,1,20,6 mm,6 mm,20 mm,16 mm,7 mm,Nylon,$32.65,$55.44
2,1,40,8 mm,6 mm,40 mm,25 mm,8 mm,Nylon,$55.44,$32.65
2,1.25,20,8 mm,8 mm,25 mm,22 mm,10.3 mm,Nylon,$37.22,$66.48
2,1.25,40,10 mm,8 mm,50 mm,32 mm,10 mm,Nylon,$66.48,$37.22
2,1.5,20,8 mm,10 mm,30 mm,25 mm,14.8 mm,Nylon,$42.55,$78.32
2,1.5,40,10 mm,10 mm,60 mm,38 mm,15 mm,Nylon,$78.32,$42.55
2,2,20,12 mm,15 mm,40 mm,32 mm,18 mm,Nylon,$56.19,$112.16
2,2,40,12 mm,15 mm,80 mm,40 mm,18 mm,Nylon,$112.16,$56.19
2,2.5,20,12 mm,20 mm,50 mm,40 mm,22.5 mm,Nylon,$77.31,$166.98
2,2.5,40,15 mm,20 mm,100 mm,50 mm,20 mm,Nylon,$166.98,$77.31
2,3,20,16 mm,22 mm,60 mm,50 mm,27.5 mm,Nylon,$111.45,$234.30
2,3,40,20 mm,22 mm,120 mm,60 mm,24 mm,Nylon,$234.30,$111.45
3,1.5,15,8 mm,10 mm,22.5 mm,18 mm,12.5 mm,Nylon,$38.19,$80.12
3,1.5,45,10 mm,10 mm,67.5 mm,40 mm,11 mm,Nylon,$80.12,$38.19
3,2,15,10 mm,15 mm,30 mm,24 mm,14 mm,Nylon,$46.51,$126.72
3,2,45,12 mm,15 mm,90 mm,60 mm,17 mm,Nylon,$126.72,$46.51
3,2.5,15,12 mm,20 mm,37.5 mm,30 mm,17.5 mm,Nylon,$58.26,$188.76
3,2.5,45,15 mm,20 mm,112.5 mm,60 mm,22 mm,Nylon,$188.76,$58.26
3,3,15,15 mm,23 mm,45 mm,38 mm,21.3 mm,Nylon,$73.22,$247.06
3,3,45,20 mm,23 mm,135 mm,80 mm,20 mm,Nylon,$247.06,$73.22
